lang	village	lat	lon	label	color
Andi	Зило	42.73167	46.31861	"<font color=""#80002a""> Зило</font>"	#BFFF00
Andi	Риквани	42.78139	46.31528	"<font color=""#80002a""> Риквани</font>"	#BFFF00
Andi	Муни	42.68333	46.31028	"<font color=""#80002a""> Муни</font>"	#BFFF00
Botlikh	Ботлих	42.66500	46.22000	"<font color=""#80002a""> Ботлих</font>"	#993399 
Botlikh	Ашино	42.683462	46.156727	"<font color=""#80002a""> Ашино</font>"	#993399 
Botlikh	Миарсо	42.654059	46.175643	Миарсо	#993399 
Andi	Гагатли	42.7973833	46.2906139	Гагатли	#BFFF00
Andi	Анди	42.78333	46.25000	Анди	#BFFF00
Andi	Гунха	42.78972	46.28167	Гунха	#BFFF00
Andi	Чанко	42.71833	46.24528	Чанко	#BFFF00
Andi	Ашали	42.76806	46.30750	Ашали	#BFFF00
Andi	Кванхидатли	42.65472	46.26000	"<font color=""#80002a""> Кванхидатли</font>"	#BFFF00
Avar	Кижани	42.74031	46.364775	 	#0080FF
Andi	Рушуха	42.71509	46.28112	 	#BFFF00
Avar	Тасута	42.71731	46.22568	 	#0080FF
Andi	Хандо	42.72694	46.23361	 	#BFFF00
Avar	Тандо	42.707696	46.175693	 	#0080FF
Avar	Ансалта	42.6939	46.1147	 	#0080FF
Avar	Шодрода	42.678426	46.12155	 	#0080FF
Avar	Ичичали	42.732617	46.405263	 	#0080FF
Karata	Нижнее Инхело	42.645134	46.259367	 	#FF0080
Avar	Рахата	42.6911	46.1414	 	#0080FF
Andi	Mekheturi	42.70556	46.23750	 	#BFFF00
Andi	Tsibilta	42.74322	46.24311	 	#BFFF00
Andi	Shivor	42.714662	46.256637	 	#BFFF00
